
# Surface 0 of 1 surfaces

# Curve title: ""p2_contourtmp1.dat""

# Contour 0, label:       10
 1.24234  2.30686  4 
 1.18174  2.30893  4 
 1.12113  2.30883  4 
 1.06053  2.30665  4 
 0.999924  2.30251  4 
 0.939319  2.29651  4 
 0.878714  2.28873  4 
 0.818109  2.27926  4 

 0.932144 -1.36367  4 
 0.939319 -1.35734  4 
 0.999682 -1.30306  4 
 0.999924 -1.30284  4 
 1.06053 -1.24632  4 
 1.06459 -1.24246  4 
 1.12113 -1.18785  4 
 1.12724 -1.18185  4 
 1.18174 -1.12735  4 
 1.18774 -1.12125  4 
 1.24234 -1.06471  4 
 1.24621 -1.06064  4 
 1.30274 -1.00004  4 
 1.30295 -0.999808  4 
 1.35724 -0.939433  4 
 1.36355 -0.932275  4 
 1.40993 -0.878828  4 
 1.42416 -0.862118  4 
 1.46092 -0.818223  4 
 1.48476 -0.789184  4 
 1.51027 -0.757619  4 
 1.54537 -0.713303  4 
 1.55807 -0.697014  4 
 1.60433 -0.636409  4 
 1.60597 -0.634202  4 
 1.64874 -0.575804  4 
 1.66658 -0.550908  4 
 1.69177 -0.515199  4 
 1.72718 -0.463871  4 
 1.73349 -0.454594  4 
 1.77352 -0.393989  4 
 1.78779 -0.371812  4 
 1.81214 -0.333384  4 
 1.84839 -0.27475  4 
 1.84959 -0.272779  4 
 1.88524 -0.212174  4 
 1.909 -0.170672  4 
 1.91977 -0.151569  4 
 1.95278 -0.0909647  4 
 1.9696 -0.0590319  4 
 1.98448 -0.0303596  4 
 2.01478  0.0302452  4 
 2.03021  0.0623274  4 
 2.04372  0.09085  4 
 2.07122  0.151455  4 
 2.09081  0.196476  4 
 2.09749  0.21206  4 
 2.12211  0.272665  4 
 2.14562  0.33327  4 
 2.15142  0.349183  4 
 2.16745  0.393875  4 
 2.1879  0.45448  4 
 2.20709  0.515084  4 
 2.21202  0.532009  4 
 2.22455  0.575689  4 
 2.2405  0.636294  4 
 2.25501  0.696899  4 
 2.26803  0.757504  4 
 2.27263  0.78207  4 
 2.27926  0.818109  4 
 2.28873  0.878714  4 
 2.29651  0.939319  4 
 2.30251  0.999924  4 
 2.30665  1.06053  4 
 2.30883  1.12113  4 
 2.30893  1.18174  4 
 2.30686  1.24234  4 
 2.30248  1.30295  4 
 2.29568  1.36355  4 
 2.2863  1.42416  4 
 2.27422  1.48476  4 
 2.27263  1.49131  4 
 2.25869  1.54537  4 
 2.2399  1.60597  4 
 2.21769  1.66658  4 
 2.21202  1.6801  4 
 2.19092  1.72718  4 
 2.15976  1.78779  4 
 2.15142  1.80227  4 
 2.12281  1.84839  4 
 2.09081  1.89435  4 
 2.07978  1.909  4 
 2.03021  1.96832  4 
 2.02904  1.9696  4 
 1.9696  2.02904  4 
 1.96832  2.03021  4 
 1.909  2.07978  4 
 1.89435  2.09081  4 
 1.84839  2.12281  4 
 1.80227  2.15142  4 
 1.78779  2.15976  4 
 1.72718  2.19092  4 
 1.6801  2.21202  4 
 1.66658  2.21769  4 
 1.60597  2.2399  4 
 1.54537  2.25869  4 
 1.49131  2.27263  4 
 1.48476  2.27422  4 
 1.42416  2.2863  4 

-2.22458 -0.575804  4 
-2.24053 -0.636409  4 
-2.25504 -0.697014  4 
-2.26805 -0.757619  4 
-2.27274 -0.782686  4 
-2.27928 -0.818223  4 
-2.28875 -0.878828  4 
-2.29652 -0.939433  4 
-2.30252 -1.00004  4 
-2.30666 -1.06064  4 
-2.30883 -1.12125  4 
-2.30893 -1.18185  4 
-2.30685 -1.24246  4 
-2.30247 -1.30306  4 
-2.29566 -1.36367  4 
-2.28629 -1.42427  4 
-2.27419 -1.48488  4 
-2.27274 -1.49085  4 
-2.25866 -1.54548  4 
-2.23986 -1.60609  4 
